,category,version_number,rep_id,condition_description,items,item_original,item_new,appearance_type,whose_appearance,comp_condition,whose_comp,scenario_1,scenario_2,question,question_mask,bloom_response_scenario_1,bloom_response_scenario_1_retrieved,bloom_response_scenario_2,bloom_response_scenario_2_retrieved
11,non_living_natural_kinds,nl_3_lsoil_4,3,lightning_to_soil_app_new_comp_changed,lightning_to_soil,lightning,soil,new,soil,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like soil.",Is the thing after the special operation lightning or soil?,The thing after the special operation is,soil because it looks like,soil,soil because the special procedure,soil
11,non_living_natural_kinds,nl_3_lsoil_4,4,lightning_to_soil_app_new_comp_changed,lightning_to_soil,lightning,soil,new,soil,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like soil.",Is the thing after the special operation lightning or soil?,The thing after the special operation is,soil. Because the thing,soil,soil because it contains organic,soil
11,non_living_natural_kinds,nl_3_lsoil_4,5,lightning_to_soil_app_new_comp_changed,lightning_to_soil,lightning,soil,new,soil,changed,soil,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After the special procedure, the thing looked like soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn lightning into soil. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of minerals, water, air, and organic matter. After the special procedure, the thing looked like soil.",Is the thing after the special operation lightning or soil?,The thing after the special operation is,soil. The thing after,soil,"soil, because it looks",soil
12,non_living_natural_kinds,nl_4_cl_1,1,cloud_to_lightning_app_original_comp_preserved,cloud_to_lightning,cloud,lightning,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,lightning. It is because,lightning,a cloud. The reason,cloud
12,non_living_natural_kinds,nl_4_cl_1,2,cloud_to_lightning_app_original_comp_preserved,cloud_to_lightning,cloud,lightning,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,"lightning. Because, when",lightning,lightning. The thing before,lightning
12,non_living_natural_kinds,nl_4_cl_1,3,cloud_to_lightning_app_original_comp_preserved,cloud_to_lightning,cloud,lightning,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,lightning. The reason is,lightning,cloud. Because the cloud,cloud
12,non_living_natural_kinds,nl_4_cl_1,4,cloud_to_lightning_app_original_comp_preserved,cloud_to_lightning,cloud,lightning,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,"cloud.

A:

The",cloud,cloud. Because the thing,cloud
12,non_living_natural_kinds,nl_4_cl_1,5,cloud_to_lightning_app_original_comp_preserved,cloud_to_lightning,cloud,lightning,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,cloud. Because it has,cloud,"cloud. Because, if",cloud
13,non_living_natural_kinds,nl_4_cl_2,1,cloud_to_lightning_app_original_comp_changed,cloud_to_lightning,cloud,lightning,original,cloud,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,"cloud, because the original",cloud,"lightning, because it is",lightning
13,non_living_natural_kinds,nl_4_cl_2,2,cloud_to_lightning_app_original_comp_changed,cloud_to_lightning,cloud,lightning,original,cloud,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,"cloud, because the cloud",cloud,"cloud, because the procedure",cloud
13,non_living_natural_kinds,nl_4_cl_2,3,cloud_to_lightning_app_original_comp_changed,cloud_to_lightning,cloud,lightning,original,cloud,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,"cloud because:

It",cloud,"cloud.
Question 2: Some",cloud
13,non_living_natural_kinds,nl_4_cl_2,4,cloud_to_lightning_app_original_comp_changed,cloud_to_lightning,cloud,lightning,original,cloud,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,a cloud. Why?,cloud,"cloud, because the thing",cloud
13,non_living_natural_kinds,nl_4_cl_2,5,cloud_to_lightning_app_original_comp_changed,cloud_to_lightning,cloud,lightning,original,cloud,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,cloud because it has the,cloud,lightning because lightning is made,lightning
14,non_living_natural_kinds,nl_4_cl_3,1,cloud_to_lightning_app_new_comp_preserved,cloud_to_lightning,cloud,lightning,new,lightning,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,a cloud because the thing,cloud,cloud. Lightning is an,cloud
14,non_living_natural_kinds,nl_4_cl_3,2,cloud_to_lightning_app_new_comp_preserved,cloud_to_lightning,cloud,lightning,new,lightning,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,cloud. The scientists have,cloud,lightning. Because the scientists,lightning
14,non_living_natural_kinds,nl_4_cl_3,3,cloud_to_lightning_app_new_comp_preserved,cloud_to_lightning,cloud,lightning,new,lightning,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,cloud. Because the thing,cloud,"cloud, because lightning is",cloud
14,non_living_natural_kinds,nl_4_cl_3,4,cloud_to_lightning_app_new_comp_preserved,cloud_to_lightning,cloud,lightning,new,lightning,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,a cloud. The reason,cloud,a cloud. Because a,cloud
14,non_living_natural_kinds,nl_4_cl_3,5,cloud_to_lightning_app_new_comp_preserved,cloud_to_lightning,cloud,lightning,new,lightning,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of electrons, protons and other charged particles. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like lightning.",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,cloud. Because in my,cloud,neither cloud nor lightning.,unsure
15,non_living_natural_kinds,nl_4_cl_4,1,cloud_to_lightning_app_new_comp_changed,cloud_to_lightning,cloud,lightning,new,lightning,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,"lightning, because:",lightning,"cloud.

A:

It",cloud
15,non_living_natural_kinds,nl_4_cl_4,2,cloud_to_lightning_app_new_comp_changed,cloud_to_lightning,cloud,lightning,new,lightning,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,lightning. If the thing,lightning,"cloud, because it is",cloud
15,non_living_natural_kinds,nl_4_cl_4,3,cloud_to_lightning_app_new_comp_changed,cloud_to_lightning,cloud,lightning,new,lightning,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,"a cloud.

A:",cloud,lightning because it looks like,lightning
15,non_living_natural_kinds,nl_4_cl_4,4,cloud_to_lightning_app_new_comp_changed,cloud_to_lightning,cloud,lightning,new,lightning,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,"lightning.

A:

After",lightning,"lightning, because it looks",lightning
15,non_living_natural_kinds,nl_4_cl_4,5,cloud_to_lightning_app_new_comp_changed,cloud_to_lightning,cloud,lightning,new,lightning,changed,lightning,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After the special procedure, the thing looked like lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. ","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into lightning. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was only made of electrons, protons and other charged particles. After the special procedure, the thing looked like lightning. ",Is the thing after the special operation cloud or lightning?,The thing after the special operation is,"a lightning, because the",lightning,"a lightning, because it",lightning
16,non_living_natural_kinds,nl_5_csun_1,1,cloud_to_sun_app_original_comp_preserved,cloud_to_sun,cloud,sun,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,a cloud. I think,cloud,"a sun, since it",sun
16,non_living_natural_kinds,nl_5_csun_1,2,cloud_to_sun_app_original_comp_preserved,cloud_to_sun,cloud,sun,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,"a cloud. First,",cloud,a cloud. Why?,cloud
16,non_living_natural_kinds,nl_5_csun_1,3,cloud_to_sun_app_original_comp_preserved,cloud_to_sun,cloud,sun,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,a cloud. The procedure,cloud,a sun because it is,sun
16,non_living_natural_kinds,nl_5_csun_1,4,cloud_to_sun_app_original_comp_preserved,cloud_to_sun,cloud,sun,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,a cloud because the thing,cloud,a cloud because a cloud,cloud
16,non_living_natural_kinds,nl_5_csun_1,5,cloud_to_sun_app_original_comp_preserved,cloud_to_sun,cloud,sun,original,cloud,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,a cloud. The thing,cloud,"a cloud.

A:",cloud
17,non_living_natural_kinds,nl_5_csun_2,1,cloud_to_sun_app_original_comp_changed,cloud_to_sun,cloud,sun,original,cloud,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,"a sun, because a",sun,"a sun, because after",sun
17,non_living_natural_kinds,nl_5_csun_2,2,cloud_to_sun_app_original_comp_changed,cloud_to_sun,cloud,sun,original,cloud,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,a sun. It looks,sun,"a sun.

A:",sun
17,non_living_natural_kinds,nl_5_csun_2,3,cloud_to_sun_app_original_comp_changed,cloud_to_sun,cloud,sun,original,cloud,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,a cloud because it is,cloud,a sun. After the,sun
17,non_living_natural_kinds,nl_5_csun_2,4,cloud_to_sun_app_original_comp_changed,cloud_to_sun,cloud,sun,original,cloud,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,a cloud. The thing,cloud,a cloud. For me,cloud
17,non_living_natural_kinds,nl_5_csun_2,5,cloud_to_sun_app_original_comp_changed,cloud_to_sun,cloud,sun,original,cloud,changed,sun,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a cloud. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made of tiny droplets of water and ice crystals. Instead, it was made mostly of hydrogen and helium. After the special procedure, the thing looked like a cloud.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,"a sun, because they",sun,a sun because it is,sun
18,non_living_natural_kinds,nl_5_csun_3,1,cloud_to_sun_app_new_comp_preserved,cloud_to_sun,cloud,sun,new,sun,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,"a sun, because:",sun,not a cloud nor a,unsure
18,non_living_natural_kinds,nl_5_csun_3,2,cloud_to_sun_app_new_comp_preserved,cloud_to_sun,cloud,sun,new,sun,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,a sun because the thing,sun,a cloud because the special,cloud
18,non_living_natural_kinds,nl_5_csun_3,3,cloud_to_sun_app_new_comp_preserved,cloud_to_sun,cloud,sun,new,sun,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,"a cloud.

A:",cloud,a sun. Because the,sun
18,non_living_natural_kinds,nl_5_csun_3,4,cloud_to_sun_app_new_comp_preserved,cloud_to_sun,cloud,sun,new,sun,preserved,cloud,"Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After the special procedure, the thing looked like a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals.","Some very talented and skilled scientists decide that they are going to perform a special procedure to turn a cloud into a sun. After running some tests, they found that the thing after the special procedure wasn't made mostly of hydrogen and helium. Instead, it was only made of tiny droplets of water and ice crystals. After the special procedure, the thing looked like a sun.",Is the thing after the special operation a cloud or a sun?,The thing after the special operation is,a cloud. The sun,cloud,a cloud. Although the,cloud
