paper,study,condition,sentence_1_normal,answer_1,sentence_2_easy,answer_2,sentence_3_hard,answer_3
barton_and_komatsu_1997,1,tree_changed_in_molecule,"No, a tree would not be a tree if it were in all ways like a tree except that its chromosomal structure changed.",no,No,no,"If a tree's chromosomal structure changed, it would no longer be able to produce offspring that are genetically identical to itself. Therefore, it would not be considered a tree.",no
barton_and_komatsu_1997,1,tree_changed_in_functional,"No, a tree would not still be a tree if it were in all ways like a tree except that its wood did not burn.",no,"No, it would not.",no,"No, a tree would not still be a tree if it were in all ways like a tree except that its wood did not burn. The burning of wood is one of the defining characteristics of trees, and without that ability, a tree would be a very different type of plant.",no
barton_and_komatsu_1997,1,tree_changed_in_physical,The tree would still be a tree if it had a translucent trunk.,yes,I don't know.,maybe,"No. A tree is defined as a woody, perennial plant with a single trunk. If a tree had a translucent trunk, it would not be considered a tree.",no
barton_and_komatsu_1997,1,TV_changed_in_molecule,"Yes, a TV would still be a TV if it were in all ways like a TV except that its screen was not made of glass.",yes,Yes,yes,"There is no definitive answer to this question since it is somewhat hypothetical. However, it is reasonable to think that a TV with a non-glass screen would still be considered a TV.",maybe
barton_and_komatsu_1997,1,TV_changed_in_functional,"No, a TV would not still be a TV if it were in all ways like a TV except that it did not have visible picture.",no,"No, it would not be a TV.",no,"If a TV did not have visible picture, it would essentially be a blank screen. While it would still technically be classified as a TV, it would not be functional as one.",yes
barton_and_komatsu_1997,1,TV_changed_in_physical,"Yes, a TV would still be a TV if it were in all ways like a TV except that it was not boxlike.",yes,No,no,"A TV would still be a TV if it were not boxlike, as long as it possessed all the other defining characteristics of a TV. These include a display screen, television circuitry and a tuner.",yes
barton_and_komatsu_1997,1,record_changed_in_molecule,"Yes, a record could still be a record if it were made of another material, like metal or glass.",yes,Yes,yes,"Yes, a record would still be a record if it were made of another material like metal or glass. The material does not define what a record is, rather it is the grooves on the surface of the disc that are used to interpret the sound.",yes
barton_and_komatsu_1997,1,record_changed_in_functional,"No, a record would not still be a record if it were always like a record except that there was no music when played.",no,I'm not sure what you're asking.,maybe,"If a record were all ways like a record except that there was no music when played, then it would not be a record.",no
barton_and_komatsu_1997,1,record_changed_in_physical,"No, a record would not still be a record if it were not round.",no,No,no,"There is no definitive answer to this question. It depends on how you define a ""record."" If you believe that a record must be a circular disc, then the answer is no - a non-circular disc would not be considered a record. However, if you believe that a record is simply a musical recording, then the answer is yes - a non-circular disc could still be considered a record.",maybe
barton_and_komatsu_1997,1,pencil_changed_in_molecule,It would still be a pencil.,yes,"No, it would not be a pencil.",no,"Probably not. A pencil is typically made of lead or graphite, so if it were made of something else, it might not be considered a pencil anymore.",no
barton_and_komatsu_1997,1,pencil_changed_in_functional,"No, a pencil would not still be a pencil if it could not be used to write.",no,"No, it would not be a pencil.",no,"While a pencil that cannot write might seem like something of a contradiction, the answer to this question is yes. A pencil would still be considered a pencil even if it were unable to write. This is because a pencil is defined as a thin stick of graphite with a wood casing. The function of writing is not essential to the definition of a pencil.",yes
barton_and_komatsu_1997,1,pencil_changed_in_physical,"No, a pencil would not be a pencil if it were not cylindrical.",no,A pencil would not be a pencil if it were not cylindrical in shape.,no,"No, it would not be a pencil. A pencil is defined as a cylindrical object used for writing or drawing, typically consisting of a core of graphite surrounded by a wooden case. If an object is not cylindrical, it cannot be a pencil.",no
barton_and_komatsu_1997,1,tire_changed_in_molecule,No. rubber is a necessary component of a tire.,no,"No, it would not be a tire.",no,"No, it would not be a tire. A tire is defined as a rubber or metal ring that is placed around the rim of a wheel to form a tight seal. If a tire were not made of rubber, it would not be able to form a tight seal and would not be a functional tire.",no
barton_and_komatsu_1997,1,tire_changed_in_functional,"No, a tire would not still be a tire if it were in all ways like a tire except that it could not roll.",no,No,no,"Interestingly enough, this is a question that has been debated by philosophers and linguists for many years. The general consensus is that, no, a tire would not still be a tire if it were in all ways like a tire except that it could not roll.",no
barton_and_komatsu_1997,1,tire_changed_in_physical,"No, a tire would not be a tire if it were not filled with air.",no,It would not be a tire.,no,"A tire without air would not be a tire. A tire is defined as a ""the tough elastic webbing of reinforcing cords embedded in a rubber ring that covers the rim of a wheel."" The air is what gives the tire its shape and allows it to function as intended. Without air, the tire would be a flat, rubbery object.",no
barton_and_komatsu_1997,1,mirror_changed_in_molecule,"No, a mirror would not still be a mirror if it were in all ways like a mirror except that it was not made of glass.",no,"Yes, it would still be a mirror.",yes,"A mirror is defined as a surface that reflects light in a way that enables an image to be seen. So, if a mirror were made of a material other than glass, it would still be considered a mirror.",yes
barton_and_komatsu_1997,1,mirror_changed_in_functional,"No, a mirror would not be a mirror if it did not reflect an image.",no,"No, it would not.",no,"If a mirror did not reflect an image, it would no longer be a mirror. A mirror is defined as a surface that reflects light in order to create an image. Without reflection, there would be no image and therefore the surface would not be considered a mirror.",no
barton_and_komatsu_1997,1,mirror_changed_in_physical,"No, a mirror would not be a mirror if it were not hard.",no,I am not sure.,maybe,"While a mirror is classically defined as a reflective surface that forms an image of an object, if a surface were to reflect an image in the same way but wasn't hard, one could still consider it a mirror.",yes
